cell_type,chrom,start,end,frequency,recurrent,region_width_bp,region_width_kb,mean_pseudobulk_rt_untreated,rt_class
U2OS,chr10,98299506,98415141,1,False,115635,115.64,0.34703753594485226,Early
U2OS,chr10,98911886,99668843,2,True,756957,756.96,0.44324910284482827,Early
U2OS,chr10,101791443,102268206,1,False,476763,476.76,0.4578271808722424,Early
U2OS,chr10,102851888,103258906,1,False,407018,407.02,0.40036983771620005,Early
U2OS,chr10,105627706,106305714,1,False,678008,678.01,0.40741237836350225,Early
U2OS,chr10,111510639,111563214,1,False,52575,52.58,0.285922131230196,Early
U2OS,chr10,112187913,112792941,1,False,605028,605.03,0.4097962629095059,Early
U2OS,chr10,116008472,116706899,1,False,698427,698.43,0.41104543144587324,Early
U2OS,chr10,131325887,131777091,1,False,451204,451.2,-0.3435035444476442,Late
U2OS,chr10,132944661,133115628,1,False,170967,170.97,-0.3719100558295624,Late
U2OS,chr11,7507896,8017950,1,False,510054,510.05,0.27354035563016077,Early
U2OS,chr11,21407066,21590044,1,False,182978,182.98,-0.479991178668038,Late
U2OS,chr11,23216599,23776160,1,False,559561,559.56,-0.29979217209940734,Late
U2OS,chr11,30946885,31480705,1,False,533820,533.82,-0.2853654581579502,Late
U2OS,chr11,38188537,39917715,4,True,1729178,1729.18,-0.3575786010393074,Late
U2OS,chr11,60571554,60721831,1,False,150277,150.28,0.2589693442708127,Early
U2OS,chr11,97011427,97102550,1,False,91123,91.12,-0.35130433574702485,Late
U2OS,chr11,99317590,100400434,2,True,1082844,1082.84,-0.37961459170101935,Late
U2OS,chr12,9431114,11751203,2,True,2320089,2320.09,0.13652617558252642,Mid
U2OS,chr12,58715447,58959270,1,False,243823,243.82,0.057658465808182006,Mid
U2OS,chr12,78316259,78394630,1,False,78371,78.37,-0.148064961840896,Mid
U2OS,chr12,83263303,83486810,1,False,223507,223.51,-0.4572743503491017,Late
U2OS,chr12,100043945,100122479,1,False,78534,78.53,-0.1941479800310416,Mid
U2OS,chr12,115200691,115430475,1,False,229784,229.78,-0.09687399210745992,Mid
U2OS,chr12,125393108,125549417,1,False,156309,156.31,0.45883113752387356,Early
U2OS,chr13,27039381,27200486,1,False,161105,161.1,0.20389611354224296,Mid
U2OS,chr13,29043197,29348323,1,False,305126,305.13,0.024953805307997665,Mid
U2OS,chr13,45049580,45613167,1,False,563587,563.59,0.5202793128867749,Early
U2OS,chr13,56471990,56935535,1,False,463545,463.55,-0.5115267672276447,Late
U2OS,chr13,61903828,62046410,1,False,142582,142.58,-0.45644603981997445,Late
U2OS,chr13,64555084,64793756,2,True,238672,238.67,-0.42404252668150244,Late
U2OS,chr13,67399212,68044428,2,True,645216,645.22,-0.29940373694852807,Late
U2OS,chr13,73310141,73513256,1,False,203115,203.12,0.0048101918089878985,Mid
U2OS,chr13,76085401,76328171,1,False,242770,242.77,0.5151120412841066,Early
U2OS,chr13,107767924,108600161,3,True,832237,832.24,-0.33857485187615777,Late
U2OS,chr13,109564586,109720019,1,False,155433,155.43,0.16414378294803714,Mid
U2OS,chr14,26942766,28772821,6,True,1830055,1830.06,-0.31937456182621354,Late
U2OS,chr14,102599226,102730411,1,False,131185,131.19,0.5999848320166662,Early
U2OS,chr15,43957399,44339528,1,False,382129,382.13,0.31056853816505464,Early
U2OS,chr15,50065936,50393597,1,False,327661,327.66,-0.13482424789068234,Mid
U2OS,chr15,62935785,64916043,2,True,1980258,1980.26,0.3660714380673955,Early
U2OS,chr15,82538156,83274630,2,True,736474,736.47,0.5257606963502468,Early
U2OS,chr16,22505061,22650574,1,False,145513,145.51,0.2238349448631452,Mid
U2OS,chr16,63266219,63438166,1,False,171947,171.95,-0.5871748043743305,Late
U2OS,chr16,76245294,76476517,1,False,231223,231.22,-0.21622587243176683,Mid
U2OS,chr16,82775382,83559037,3,True,783655,783.65,-0.29549109864913586,Late
U2OS,chr16,84185816,85429193,1,False,1243377,1243.38,0.44210476661042586,Early
U2OS,chr17,43469979,43719819,2,True,249840,249.84,0.38892575349151753,Early
U2OS,chr17,45206369,45380602,1,False,174233,174.23,0.5365662084463934,Early
U2OS,chr17,76023469,76304786,1,False,281317,281.32,0.5625748809997076,Early
U2OS,chr18,35144037,35311865,1,False,167828,167.83,-0.28245768666445464,Late
U2OS,chr18,36920299,37128050,2,True,207751,207.75,-0.5299386439744368,Late
U2OS,chr19,914346,961859,1,False,47513,47.51,0.606593252555941,Early
U2OS,chr19,1413672,1583938,1,False,170266,170.27,0.6120555096831571,Early
U2OS,chr19,2750321,2908792,1,False,158471,158.47,0.4482898119006044,Early
U2OS,chr19,3471784,3800056,1,False,328272,328.27,0.5110925181117211,Early
U2OS,chr19,4228139,4400826,1,False,172687,172.69,0.3701795484632535,Early
U2OS,chr19,5459357,6111434,2,True,652077,652.08,0.4222788610886547,Early
U2OS,chr19,6966821,7052683,1,False,85862,85.86,0.31741639573579866,Early
U2OS,chr19,12751880,13097411,1,False,345531,345.53,0.33264095302702207,Early
U2OS,chr19,35500003,35787633,1,False,287630,287.63,0.4549237178739123,Early
U2OS,chr19,36526993,37062669,2,True,535676,535.68,0.34975927608275564,Early
U2OS,chr19,47224649,47494765,1,False,270116,270.12,0.33248604396822756,Early
U2OS,chr19,50592101,50992229,1,False,400128,400.13,0.23992905098064796,Mid
U2OS,chr2,14288022,15463787,2,True,1175765,1175.77,-0.2801981699248211,Late
U2OS,chr2,24197336,24630772,1,False,433436,433.44,0.38907159529418167,Early
U2OS,chr2,63493105,64248469,1,False,755364,755.36,0.18249147406398372,Mid
U2OS,chr2,64665063,65558797,1,False,893734,893.73,0.3888287816759884,Early
U2OS,chr2,66949664,73816468,5,True,6866804,6866.8,0.2702244785258605,Early
U2OS,chr2,104097920,104639166,1,False,541246,541.25,-0.266245741619578,Late
U2OS,chr2,147408672,149011251,1,False,1602579,1602.58,-0.13916945675386214,Mid
U2OS,chr2,150396219,151150865,1,False,754646,754.65,0.23827215623080253,Mid
U2OS,chr2,159220831,160341182,1,False,1120351,1120.35,0.366836205931137,Early
U2OS,chr2,175649331,175836986,1,False,187655,187.66,0.2174859992434492,Mid
U2OS,chr2,186476907,187985152,4,True,1508245,1508.24,0.18330943273299943,Mid
U2OS,chr2,199096755,199899222,1,False,802467,802.47,-0.3927487052742198,Late
U2OS,chr2,205485732,205525236,1,False,39504,39.5,0.10009476837899743,Mid
U2OS,chr2,235324915,235525155,1,False,200240,200.24,0.48407996800933145,Early
U2OS,chr2,236284998,236560355,1,False,275357,275.36,0.37206176084242676,Early
U2OS,chr2,239279127,239782945,1,False,503818,503.82,0.33273259890692897,Early
U2OS,chr20,13735324,13841867,1,False,106543,106.54,0.14791677663799485,Mid
U2OS,chr20,17536481,18105661,1,False,569180,569.18,0.3964635984035148,Early
U2OS,chr21,22605992,23409158,1,False,803166,803.17,-0.5656212883372904,Late
U2OS,chr21,30020577,30935677,1,False,915100,915.1,0.2745862329260998,Early
U2OS,chr22,41296337,42018333,2,True,721996,722.0,0.3407537825759154,Early
U2OS,chr3,19421864,19534909,1,False,113045,113.05,-0.23490945423202805,Mid
U2OS,chr3,20527156,20883361,1,False,356205,356.2,-0.23141598244006722,Mid
U2OS,chr3,34759793,35063044,1,False,303251,303.25,-0.42781482468651055,Late
U2OS,chr3,55592623,55946229,1,False,353606,353.61,-0.07561699763560385,Mid
U2OS,chr3,66836311,68279247,4,True,1442936,1442.94,-0.2914083286916991,Late
U2OS,chr3,127850369,129237759,1,False,1387390,1387.39,0.4680045456858023,Early
U2OS,chr3,131034340,131468733,1,False,434393,434.39,0.09549281447829143,Mid
U2OS,chr3,136462301,138323024,1,False,1860723,1860.72,0.10490298011229214,Mid
U2OS,chr3,167124177,167329367,1,False,205190,205.19,-0.5378430351897137,Late
U2OS,chr3,180424301,180828306,1,False,404005,404.0,-0.355516400390498,Late
U2OS,chr4,19131381,19639842,6,True,508461,508.46,-0.4888432853152068,Late
U2OS,chr4,66401541,66913486,1,False,511945,511.94,-0.23428828607796476,Mid
U2OS,chr4,83477631,83672211,1,False,194580,194.58,0.3398081898193532,Early
U2OS,chr4,93964870,95021538,4,True,1056668,1056.67,-0.3521773963755542,Late
U2OS,chr4,98542645,98849813,1,False,307168,307.17,-0.2623725362384601,Late
U2OS,chr4,102307236,102530036,1,False,222800,222.8,0.01946185371626763,Mid
U2OS,chr4,104548869,105285088,1,False,736219,736.22,-0.3053460187378613,Late
U2OS,chr4,163924165,164122282,1,False,198117,198.12,-0.1810408363390164,Mid
U2OS,chr4,185834451,186075915,1,False,241464,241.46,0.15264630420539632,Mid
U2OS,chr5,10211151,10770562,1,False,559411,559.41,0.2662645885963479,Early
U2OS,chr5,17459294,17603043,2,True,143749,143.75,-0.01743764711740864,Mid
U2OS,chr5,34175736,35024134,4,True,848398,848.4,0.22428561820116658,Mid
U2OS,chr5,59458646,59501754,1,False,43108,43.11,-0.41657790078607493,Late
U2OS,chr5,84339844,84612872,1,False,273028,273.03,-0.270792083056136,Late
U2OS,chr5,98905191,99369934,1,False,464743,464.74,-0.6425561300654542,Late
U2OS,chr5,122924151,123010703,1,False,86552,86.55,-0.07271143679616217,Mid
U2OS,chr5,123896451,124168533,1,False,272082,272.08,-0.3354116452836699,Late
U2OS,chr5,128869993,129295685,2,True,425692,425.69,-0.6298963636047844,Late
U2OS,chr5,139533133,139599011,1,False,65878,65.88,0.244307080484187,Mid
U2OS,chr5,152911904,153127901,1,False,215997,216.0,-0.4358615474060389,Late
U2OS,chr5,158811171,161308983,1,False,2497812,2497.81,-0.08374586205657507,Mid
U2OS,chr5,171746876,172214110,1,False,467234,467.23,0.27218825959485277,Early
U2OS,chr6,10890818,11278245,1,False,387427,387.43,0.4927486899861237,Early
U2OS,chr6,12632403,13067559,1,False,435156,435.16,0.3002895884487838,Early
U2OS,chr6,72139234,72463454,1,False,324220,324.22,0.10363546184087188,Mid
U2OS,chr6,79294291,79471012,1,False,176721,176.72,-0.1805166878854056,Mid
U2OS,chr6,93014305,93328128,2,True,313823,313.82,-0.3937790000829886,Late
U2OS,chr6,94320036,94530163,1,False,210127,210.13,-0.630934611598995,Late
U2OS,chr6,124043236,124292997,1,False,249761,249.76,-0.39134937790075125,Late
U2OS,chr6,126448768,126796461,1,False,347693,347.69,0.02512513725576245,Mid
U2OS,chr6,129420435,129624670,1,False,204235,204.24,-0.1527992587371124,Mid
U2OS,chr7,18503763,19282105,2,True,778342,778.34,-0.00190497445526006,Mid
U2OS,chr7,41963597,42228759,1,False,265162,265.16,0.08178525273133108,Mid
U2OS,chr7,69240116,69407061,1,False,166945,166.94,-0.14881209272940524,Mid
U2OS,chr7,78148534,79378365,4,True,1229831,1229.83,-0.028620512919624003,Mid
U2OS,chr7,87496526,88558525,2,True,1061999,1062.0,-0.25490831132743624,Late
U2OS,chr7,89605681,90068016,1,False,462335,462.33,0.2071901324313716,Mid
U2OS,chr7,100094213,100612415,1,False,518202,518.2,0.4224173152188418,Early
U2OS,chr7,109966780,110094808,4,True,128028,128.03,-0.39713164349534025,Late
U2OS,chr7,110756761,111517242,3,True,760481,760.48,-0.3640898467984002,Late
U2OS,chr7,116399830,117021345,1,False,621515,621.51,0.31852396618615336,Early
U2OS,chr7,124887415,125085523,1,False,198108,198.11,-0.5758716544240301,Late
U2OS,chr7,139378856,139522241,1,False,143385,143.38,0.6321820819149893,Early
U2OS,chr8,14695845,14791794,1,False,95949,95.95,-0.6318935847631343,Late
U2OS,chr8,16759393,20750517,2,True,3991124,3991.12,0.07867760475202008,Mid
U2OS,chr8,35089015,35229563,1,False,140548,140.55,-0.5969858463473212,Late
U2OS,chr8,36146570,36392239,1,False,245669,245.67,-0.4885456922518176,Late
U2OS,chr8,39999865,40385911,1,False,386046,386.05,-0.02563752357662975,Mid
U2OS,chr8,62941234,63076618,1,False,135384,135.38,-0.06901467639067833,Mid
U2OS,chr8,64251688,64887340,1,False,635652,635.65,-0.1641453245437631,Mid
U2OS,chr8,65734902,66097254,1,False,362352,362.35,-0.3089112441684072,Late
U2OS,chr8,69425550,69992417,2,True,566867,566.87,-0.3818031442602091,Late
U2OS,chr8,72734953,73003783,1,False,268830,268.83,-0.04105680800662205,Mid
U2OS,chr8,110972201,111028684,1,False,56483,56.48,-0.31374776140834054,Late
U2OS,chr8,120703789,120796187,1,False,92398,92.4,-0.219528977575804,Mid
U2OS,chr8,121859951,121893936,1,False,33985,33.98,-0.150616537750912,Mid
U2OS,chr8,128311874,128652080,1,False,340206,340.21,0.17089077160493377,Mid
U2OS,chr8,131367067,131641200,1,False,274133,274.13,0.42409428069188304,Early
U2OS,chr8,132235649,132393416,1,False,157767,157.77,-0.12973725677924292,Mid
U2OS,chr8,136248007,137957216,1,False,1709209,1709.21,-0.28888757756073563,Late
U2OS,chr9,44907911,66251395,1,False,21343484,21343.48,-0.165158867876864,Mid
U2OS,chr9,81267182,81325269,1,False,58087,58.09,-0.0391919195191965,Mid
U2OS,chr9,85126896,87060222,4,True,1933326,1933.33,-0.12964300101296528,Mid
U2OS,chr9,92104925,92261403,1,False,156478,156.48,0.08406268723449188,Mid
U2OS,chr9,119316698,119740197,2,True,423499,423.5,-0.1317199347389726,Mid
U2OS,chr9,122112187,122643213,1,False,531026,531.03,-0.3705033215480565,Late
U2OS,chr9,124810313,124964495,1,False,154182,154.18,0.27345634127588003,Early
U2OS,chr9,138955818,139044795,1,False,88977,88.98,0.6008617884359719,Early
U2OS,chrX,75326207,75433493,1,False,107286,107.29,-0.19503881582387364,Mid
U2OS,chrX,81413181,81537782,1,False,124601,124.6,-0.3099426233807945,Late
U2OS,chrX,90764204,90853467,1,False,89263,89.26,-0.34170832691623626,Late
U2OS,chrX,96461366,96708255,3,True,246889,246.89,-0.407675096357598,Late
U2OS,chrX,120560083,120655955,1,False,95872,95.87,-0.3685553327753258,Late
RPE1,chr1,3827201,5550783,2,True,1723582,1723.58,-0.343494978389547,Late
RPE1,chr1,16466167,18220095,5,True,1753928,1753.93,0.5335821336038924,Early
RPE1,chr1,30784843,31244468,1,False,459625,459.62,0.2271931373809306,Mid
RPE1,chr1,33598009,35148767,2,True,1550758,1550.76,-0.055042392275229,Mid
RPE1,chr1,37308370,37563712,1,False,255342,255.34,0.1195603377662403,Mid
RPE1,chr1,72148338,72945186,2,True,796848,796.85,-0.3413877946160025,Late
RPE1,chr1,92452466,94612753,5,True,2160287,2160.29,0.4674307846624903,Early
RPE1,chr1,95291508,96317234,5,True,1025726,1025.73,0.048479682519572055,Mid
RPE1,chr1,160854484,161325905,1,False,471421,471.42,0.3455917767659509,Early
RPE1,chr1,179554327,181336167,1,False,1781840,1781.84,0.4321410189137626,Early
RPE1,chr1,204470702,205883277,1,False,1412575,1412.58,0.41330907972806413,Early
RPE1,chr1,207180694,207682017,1,False,501323,501.32,0.3665992450676039,Early
RPE1,chr1,226598556,243430364,1,False,16831808,16831.81,-0.01752424536464539,Mid
RPE1,chr10,60187713,60472277,1,False,284564,284.56,0.4014589527402103,Early
RPE1,chr10,91116761,93776182,3,True,2659421,2659.42,0.2973170677274452,Early
RPE1,chr10,112254376,112579731,1,False,325355,325.36,0.5340145269424491,Early
RPE1,chr10,117054554,127331775,5,True,10277221,10277.22,0.0768438337465388,Mid
RPE1,chr10,127971059,128042001,1,False,70942,70.94,0.4845863919654036,Early
RPE1,chr10,128898611,130794284,5,True,1895673,1895.67,-0.16381064460147993,Mid
RPE1,chr11,776604,4679877,9,True,3903273,3903.27,0.4035868476951918,Early
RPE1,chr11,5717178,6318451,1,False,601273,601.27,-0.0965277083354911,Mid
RPE1,chr11,15835792,17706546,3,True,1870754,1870.75,0.11151866047088223,Mid
RPE1,chr11,34998593,35431590,1,False,432997,433.0,0.6090780704794765,Early
RPE1,chr11,37467593,38340949,1,False,873356,873.36,-0.4170430227187052,Late
RPE1,chr11,57512884,57667983,1,False,155099,155.1,0.3571409098800446,Early
RPE1,chr11,62926364,64708065,3,True,1781701,1781.7,0.5957434390298932,Early
RPE1,chr11,66634679,67686632,3,True,1051953,1051.95,0.5903308848793566,Early
RPE1,chr11,68122054,68846215,1,False,724161,724.16,0.5143521173792259,Early
RPE1,chr11,78308513,78853528,1,False,545015,545.01,0.2005412931337063,Mid
RPE1,chr11,79360231,81083602,2,True,1723371,1723.37,-0.5386710387727294,Late
RPE1,chr11,82809008,83112821,1,False,303813,303.81,0.24496978929865743,Mid
RPE1,chr11,87844452,89240195,7,True,1395743,1395.74,0.08066503815041655,Mid
RPE1,chr11,89705031,92053060,6,True,2348029,2348.03,-0.6488086286926198,Late
RPE1,chr11,100946827,101069145,1,False,122318,122.32,-0.47189960086293686,Late
RPE1,chr11,124453200,124570596,1,False,117396,117.4,0.13124186641528582,Mid
RPE1,chr12,1857408,2188667,2,True,331259,331.26,0.3471328462573696,Early
RPE1,chr12,6362581,6597115,1,False,234534,234.53,0.6393265798529271,Early
RPE1,chr12,22825710,23218233,1,False,392523,392.52,-0.23048577651655835,Mid
RPE1,chr12,24595360,25668785,2,True,1073425,1073.42,0.14224709563212742,Mid
RPE1,chr12,28222823,29029162,1,False,806339,806.34,-0.15252912501674457,Mid
RPE1,chr12,30379409,30694088,3,True,314679,314.68,-0.25990129510056115,Late
RPE1,chr12,46009763,46759912,1,False,750149,750.15,0.31559269478634905,Early
RPE1,chr12,49328255,49576684,1,False,248429,248.43,0.6925019689375935,Early
RPE1,chr12,58165793,59081024,2,True,915231,915.23,0.27229960557753097,Early
RPE1,chr12,74407960,74648323,1,False,240363,240.36,-0.6372191639358687,Late
RPE1,chr12,75718082,76541952,2,True,823870,823.87,0.4554925633586292,Early
RPE1,chr12,80035861,80457459,1,False,421598,421.6,0.3335184228348542,Early
RPE1,chr12,81479632,82367768,1,False,888136,888.14,-0.21295277319661007,Mid
RPE1,chr12,83113361,84166761,1,False,1053400,1053.4,-0.44952094149361665,Late
RPE1,chr12,103947568,104236968,1,False,289400,289.4,0.355670193748748,Early
RPE1,chr12,105694186,106141567,1,False,447381,447.38,0.40049569258033946,Early
RPE1,chr12,129451959,130196212,1,False,744253,744.25,-0.5383792187848453,Late
RPE1,chr13,22280789,22608552,1,False,327763,327.76,-0.3297371897254512,Late
RPE1,chr13,31672972,32001540,1,False,328568,328.57,0.3190537479458071,Early
RPE1,chr13,33276567,33713786,1,False,437219,437.22,0.2582220893680988,Early
RPE1,chr13,35602703,36180199,1,False,577496,577.5,-0.09869053572911667,Mid
RPE1,chr13,47469004,48649393,6,True,1180389,1180.39,-0.06370541372511652,Mid
RPE1,chr13,62301787,62555983,1,False,254196,254.2,-0.5916790763968692,Late
RPE1,chr13,68563682,69296514,1,False,732832,732.83,-0.4756381007239372,Late
RPE1,chr13,70614260,73057762,4,True,2443502,2443.5,-0.5191466237949347,Late
RPE1,chr13,77449011,78770679,1,False,1321668,1321.67,-0.16951487293718176,Mid
RPE1,chr13,86267698,86574005,1,False,306307,306.31,-0.4875537392227178,Late
RPE1,chr13,87218375,87670463,2,True,452088,452.09,-0.35762733015796,Late
RPE1,chr13,88987724,89061331,1,False,73607,73.61,-0.6275739619318298,Late
RPE1,chr13,94594790,94680916,1,False,86126,86.13,-0.028872812412775985,Mid
RPE1,chr13,102565689,102770800,1,False,205111,205.11,-0.34667347853729047,Late
RPE1,chr13,104598301,104849259,1,False,250958,250.96,-0.4671192238062228,Late
RPE1,chr13,107845252,108209410,1,False,364158,364.16,-0.17258845845196527,Mid
RPE1,chr14,22377418,22776721,1,False,399303,399.3,-0.04902912953924214,Mid
RPE1,chr14,23443624,23892974,1,False,449350,449.35,0.5635629693186394,Early
RPE1,chr14,25500267,26298582,1,False,798315,798.32,-0.5209061421368913,Late
RPE1,chr14,27536066,29275164,3,True,1739098,1739.1,-0.3917299626880893,Late
RPE1,chr14,39879859,40026395,1,False,146536,146.54,0.3466122655751398,Early
RPE1,chr14,42766887,43080754,1,False,313867,313.87,-0.553850478080827,Late
RPE1,chr14,43753332,44657962,2,True,904630,904.63,-0.6770127078944932,Late
RPE1,chr14,49443036,50341182,5,True,898146,898.15,0.040666448304169385,Mid
RPE1,chr14,51276155,52052495,1,False,776340,776.34,0.45299794381404146,Early
RPE1,chr14,53189279,54386253,3,True,1196974,1196.97,0.08196589610384533,Mid
RPE1,chr14,72398101,72591363,1,False,193262,193.26,-0.024579234436909948,Mid
RPE1,chr14,73330495,73692709,1,False,362214,362.21,0.6052161674119455,Early
RPE1,chr14,83350700,83605575,1,False,254875,254.88,-0.7059117665633865,Late
RPE1,chr14,84373338,84700975,1,False,327637,327.64,-0.6553841803643461,Late
RPE1,chr14,105936215,106221465,1,False,285250,285.25,0.4473014953058481,Early
RPE1,chr15,30356252,31427137,1,False,1070885,1070.88,0.1484542205715088,Mid
RPE1,chr15,38587032,39073741,1,False,486709,486.71,0.146699411149475,Mid
RPE1,chr15,40913460,41538519,1,False,625059,625.06,0.6160092828946793,Early
RPE1,chr15,48502847,48562682,1,False,59835,59.84,0.454648404291997,Early
RPE1,chr15,49388608,49490248,1,False,101640,101.64,0.311653890122763,Early
RPE1,chr15,62512331,63151318,1,False,638987,638.99,0.45828744561959833,Early
RPE1,chr15,68833880,69381280,1,False,547400,547.4,0.45901749854620044,Early
RPE1,chr16,58483294,59155474,1,False,672180,672.18,0.3200667521869807,Early
RPE1,chr16,60191228,60678572,1,False,487344,487.34,-0.5888400613136741,Late
RPE1,chr16,68004098,69210100,3,True,1206002,1206.0,0.5846770693532161,Early
RPE1,chr16,81572706,83275050,2,True,1702344,1702.34,0.02811828734221407,Mid
RPE1,chr16,86139599,87555092,1,False,1415493,1415.49,0.5100502400769372,Early
RPE1,chr17,831093,2536196,2,True,1705103,1705.1,0.6584749846373954,Early
RPE1,chr17,15814143,18397104,5,True,2582961,2582.96,0.6102434621356133,Early
RPE1,chr17,41722737,44769220,3,True,3046483,3046.48,0.5971810417464954,Early
RPE1,chr17,45611336,49626555,4,True,4015219,4015.22,0.5960585653750213,Early
RPE1,chr17,50811391,50952327,1,False,140936,140.94,-0.628181718942747,Late
RPE1,chr17,51690469,52228166,1,False,537697,537.7,-0.5540621883099927,Late
RPE1,chr17,52708775,52952591,1,False,243816,243.82,-0.5077293980285593,Late
RPE1,chr17,55947608,57654142,1,False,1706534,1706.53,0.3534282699421327,Early
RPE1,chr17,59256218,62311094,4,True,3054876,3054.88,0.3764663860450576,Early
RPE1,chr17,63208686,64044525,1,False,835839,835.84,0.28871153945791234,Early
RPE1,chr17,66947593,67530097,1,False,582504,582.5,-0.2708972426261503,Late
RPE1,chr17,69000522,69126763,1,False,126241,126.24,-0.2484051429039582,Mid
RPE1,chr17,71128766,72788459,1,False,1659693,1659.69,0.024893158755502007,Mid
RPE1,chr18,132313,1355237,1,False,1222924,1222.92,0.14763962940481842,Mid
RPE1,chr18,8189818,9093153,2,True,903335,903.34,0.3497336453129408,Early
RPE1,chr18,28627391,28745997,1,False,118606,118.61,0.014166573022041804,Mid
RPE1,chr18,29932658,30670148,2,True,737490,737.49,-0.515915594533095,Late
RPE1,chr18,31541303,32243500,1,False,702197,702.2,-0.4526298491631937,Late
RPE1,chr18,32849195,33299443,1,False,450248,450.25,0.3355158454177248,Early
RPE1,chr18,33790641,34057120,1,False,266479,266.48,0.454572973445222,Early
RPE1,chr18,62835650,63461670,2,True,626020,626.02,-0.7222271891968711,Late
RPE1,chr18,63970243,64367034,2,True,396791,396.79,-0.6804684365414682,Late
RPE1,chr18,67982477,68626998,2,True,644521,644.52,0.10754428765374016,Mid
RPE1,chr18,69716584,69945052,1,False,228468,228.47,-0.6415826997900144,Late
RPE1,chr18,70622569,71648428,1,False,1025859,1025.86,-0.534513696659356,Late
RPE1,chr18,72905070,73067799,1,False,162729,162.73,-0.10510731750988755,Mid
RPE1,chr19,963034,1244454,1,False,281420,281.42,0.8414809519788854,Early
RPE1,chr19,1806181,2485896,1,False,679715,679.72,0.7869666264912691,Early
RPE1,chr19,29271431,29834281,2,True,562850,562.85,-0.5134112506529342,Late
RPE1,chr19,31777177,33049956,1,False,1272779,1272.78,-0.3044490430531227,Late
RPE1,chr19,33919794,34086097,1,False,166303,166.3,-0.008374693754992413,Mid
RPE1,chr19,50172639,50652435,1,False,479796,479.8,0.563206243166106,Early
RPE1,chr19,52787836,53031412,1,False,243576,243.58,-0.16984247675170988,Mid
RPE1,chr19,53699166,54180337,1,False,481171,481.17,-0.22831193344035933,Mid
RPE1,chr19,55483934,59074856,1,False,3590922,3590.92,0.19218542176837342,Mid
RPE1,chr2,36267306,36892169,1,False,624863,624.86,0.1957106596576823,Mid
RPE1,chr2,38955259,40422533,1,False,1467274,1467.27,0.328551288943482,Early
RPE1,chr2,126109417,126840083,1,False,730666,730.67,-0.6766454357380582,Late
RPE1,chr2,139909209,140091699,1,False,182490,182.49,-0.44259930230894856,Late
RPE1,chr2,141329797,141832960,3,True,503163,503.16,-0.4587299133973694,Late
RPE1,chr2,143057083,143785520,1,False,728437,728.44,-0.409463675536918,Late
RPE1,chr2,153845287,154182306,1,False,337019,337.02,-0.3687587398013009,Late
RPE1,chr2,158163804,158654916,1,False,491112,491.11,0.044623658930638445,Mid
RPE1,chr2,160252588,160358185,1,False,105597,105.6,0.4891940112498005,Early
RPE1,chr2,161427746,162410933,2,True,983187,983.19,0.24658352489138624,Mid
RPE1,chr2,167455941,167805015,1,False,349074,349.07,-0.11592086153575158,Mid
RPE1,chr2,184992767,185241141,1,False,248374,248.37,-0.4442991447827561,Late
