cell_type,chrom,start,end,frequency,recurrent,region_width_bp,region_width_kb,nearest_other_cell_line,nearest_edge_distance_bp,nearest_edge_distance_kb,overlap_other_line,within_1mb_other_line
U2OS,chr10,101791443,102268206,1,False,476763,476.76,BJ,5549421,5549.421,False,False
U2OS,chr10,102851888,103258906,1,False,407018,407.02,BJ,6609866,6609.866,False,False
U2OS,chr10,105627706,106305714,1,False,678008,678.01,RPE1,5948662,5948.662,False,False
U2OS,chr10,111510639,111563214,1,False,52575,52.58,RPE1,691162,691.162,False,True
U2OS,chr10,112187913,112792941,1,False,605028,605.03,RPE1,0,0.0,True,True
U2OS,chr10,116008472,116706899,1,False,698427,698.43,RPE1,347655,347.655,False,True
U2OS,chr10,131325887,131777091,1,False,451204,451.2,RPE1,531603,531.603,False,True
U2OS,chr10,132944661,133115628,1,False,170967,170.97,RPE1,2150377,2150.377,False,False
U2OS,chr11,7507896,8017950,1,False,510054,510.05,RPE1,1189445,1189.445,False,False
U2OS,chr11,21407066,21590044,1,False,182978,182.98,RPE1,3700520,3700.52,False,False
U2OS,chr11,23216599,23776160,1,False,559561,559.56,RPE1,5510053,5510.053,False,False
U2OS,chr11,30946885,31480705,1,False,533820,533.82,BJ,1001277,1001.277,False,False
U2OS,chr11,38188537,39917715,4,True,1729178,1729.18,RPE1,0,0.0,True,True
U2OS,chr11,60571554,60721831,1,False,150277,150.28,RPE1,2204533,2204.533,False,False
U2OS,chr11,97011427,97102550,1,False,91123,91.12,RPE1,3844277,3844.277,False,False
U2OS,chr11,99317590,100400434,2,True,1082844,1082.84,RPE1,546393,546.393,False,True
U2OS,chr12,9431114,11751203,2,True,2320089,2320.09,RPE1,2833999,2833.999,False,False
U2OS,chr12,58715447,58959270,1,False,243823,243.82,RPE1,0,0.0,True,True
U2OS,chr12,78316259,78394630,1,False,78371,78.37,RPE1,1641231,1641.231,False,False
U2OS,chr12,83263303,83486810,1,False,223507,223.51,RPE1,0,0.0,True,True
U2OS,chr12,100043945,100122479,1,False,78534,78.53,BJ,0,0.0,True,True
U2OS,chr12,115200691,115430475,1,False,229784,229.78,RPE1,9059124,9059.124,False,False
U2OS,chr12,125393108,125549417,1,False,156309,156.31,RPE1,3902542,3902.542,False,False
U2OS,chr13,27039381,27200486,1,False,161105,161.1,RPE1,4430829,4430.829,False,False
U2OS,chr13,29043197,29348323,1,False,305126,305.13,RPE1,2324649,2324.649,False,False
U2OS,chr13,45049580,45613167,1,False,563587,563.59,RPE1,1855837,1855.837,False,False
U2OS,chr13,56471990,56935535,1,False,463545,463.55,RPE1,5366252,5366.252,False,False
U2OS,chr13,61903828,62046410,1,False,142582,142.58,RPE1,255377,255.377,False,True
U2OS,chr13,64555084,64793756,2,True,238672,238.67,RPE1,1999101,1999.101,False,False
U2OS,chr13,67399212,68044428,2,True,645216,645.22,RPE1,519254,519.254,False,True
U2OS,chr13,73310141,73513256,1,False,203115,203.12,RPE1,252379,252.379,False,True
U2OS,chr13,76085401,76328171,1,False,242770,242.77,RPE1,1120840,1120.84,False,False
U2OS,chr13,107767924,108600161,3,True,832237,832.24,RPE1,0,0.0,True,True
U2OS,chr13,109564586,109720019,1,False,155433,155.43,BJ,843059,843.059,False,True
U2OS,chr14,26942766,28772821,6,True,1830055,1830.06,RPE1,0,0.0,True,True
U2OS,chr14,102599226,102730411,1,False,131185,131.19,BJ,2749151,2749.151,False,False
U2OS,chr15,43957399,44339528,1,False,382129,382.13,BJ,1003168,1003.168,False,False
U2OS,chr15,50065936,50393597,1,False,327661,327.66,RPE1,575688,575.688,False,True
U2OS,chr15,62935785,64916043,2,True,1980258,1980.26,RPE1,0,0.0,True,True
U2OS,chr15,82538156,83274630,2,True,736474,736.47,BJ,1559205,1559.205,False,False
U2OS,chr16,22505061,22650574,1,False,145513,145.51,BJ,0,0.0,True,True
U2OS,chr16,63266219,63438166,1,False,171947,171.95,RPE1,2587647,2587.647,False,False
U2OS,chr16,76245294,76476517,1,False,231223,231.22,BJ,1033052,1033.052,False,False
U2OS,chr16,82775382,83559037,3,True,783655,783.65,RPE1,0,0.0,True,True
U2OS,chr16,84185816,85429193,1,False,1243377,1243.38,RPE1,710406,710.406,False,True
U2OS,chr17,43469979,43719819,2,True,249840,249.84,RPE1,0,0.0,True,True
U2OS,chr17,45206369,45380602,1,False,174233,174.23,BJ,211239,211.239,False,True
U2OS,chr17,76023469,76304786,1,False,281317,281.32,RPE1,3235010,3235.01,False,False
U2OS,chr18,35144037,35311865,1,False,167828,167.83,BJ,556958,556.958,False,True
U2OS,chr18,36920299,37128050,2,True,207751,207.75,BJ,0,0.0,True,True
U2OS,chr19,914346,961859,1,False,47513,47.51,BJ,0,0.0,True,True
U2OS,chr19,1413672,1583938,1,False,170266,170.27,BJ,0,0.0,True,True
U2OS,chr19,2750321,2908792,1,False,158471,158.47,RPE1,264425,264.425,False,True
U2OS,chr19,3471784,3800056,1,False,328272,328.27,RPE1,985888,985.888,False,True
U2OS,chr19,4228139,4400826,1,False,172687,172.69,RPE1,1742243,1742.243,False,False
U2OS,chr19,5459357,6111434,2,True,652077,652.08,RPE1,2973461,2973.461,False,False
U2OS,chr19,6966821,7052683,1,False,85862,85.86,RPE1,4480925,4480.925,False,False
U2OS,chr19,12751880,13097411,1,False,345531,345.53,RPE1,10265984,10265.984,False,False
U2OS,chr19,35500003,35787633,1,False,287630,287.63,BJ,627572,627.572,False,True
U2OS,chr19,36526993,37062669,2,True,535676,535.68,BJ,0,0.0,True,True
U2OS,chr19,47224649,47494765,1,False,270116,270.12,RPE1,2677874,2677.874,False,False
U2OS,chr19,50592101,50992229,1,False,400128,400.13,RPE1,0,0.0,True,True
U2OS,chr2,14288022,15463787,2,True,1175765,1175.77,RPE1,20803519,20803.519,False,False
U2OS,chr2,24197336,24630772,1,False,433436,433.44,RPE1,11636534,11636.534,False,False
U2OS,chr2,63493105,64248469,1,False,755364,755.36,RPE1,23070572,23070.572,False,False
U2OS,chr2,64665063,65558797,1,False,893734,893.73,RPE1,24242530,24242.53,False,False
U2OS,chr2,66949664,73816468,5,True,6866804,6866.8,RPE1,26527131,26527.131,False,False
U2OS,chr2,104097920,104639166,1,False,541246,541.25,RPE1,21470251,21470.251,False,False
U2OS,chr2,147408672,149011251,1,False,1602579,1602.58,RPE1,3623152,3623.152,False,False
U2OS,chr2,150396219,151150865,1,False,754646,754.65,RPE1,2694422,2694.422,False,False
U2OS,chr2,159220831,160341182,1,False,1120351,1120.35,RPE1,0,0.0,True,True
U2OS,chr2,175649331,175836986,1,False,187655,187.66,RPE1,7844316,7844.316,False,False
U2OS,chr2,186476907,187985152,4,True,1508245,1508.24,RPE1,0,0.0,True,True
U2OS,chr2,199096755,199899222,1,False,802467,802.47,BJ,6046324,6046.324,False,False
U2OS,chr2,205485732,205525236,1,False,39504,39.5,BJ,12435301,12435.301,False,False
U2OS,chr2,235324915,235525155,1,False,200240,200.24,RPE1,5536802,5536.802,False,False
U2OS,chr2,236284998,236560355,1,False,275357,275.36,RPE1,4501602,4501.602,False,False
U2OS,chr2,239279127,239782945,1,False,503818,503.82,RPE1,1279012,1279.012,False,False
U2OS,chr20,13735324,13841867,1,False,106543,106.54,RPE1,4571916,4571.916,False,False
U2OS,chr20,17536481,18105661,1,False,569180,569.18,RPE1,372651,372.651,False,True
U2OS,chr21,22605992,23409158,1,False,803166,803.17,RPE1,822567,822.567,False,True
U2OS,chr21,30020577,30935677,1,False,915100,915.1,RPE1,2948951,2948.951,False,False
U2OS,chr22,41296337,42018333,2,True,721996,722.0,RPE1,5657772,5657.772,False,False
U2OS,chr3,19421864,19534909,1,False,113045,113.05,BJ,14973783,14973.783,False,False
U2OS,chr3,20527156,20883361,1,False,356205,356.2,BJ,16079075,16079.075,False,False
U2OS,chr3,34759793,35063044,1,False,303251,303.25,RPE1,9535276,9535.276,False,False
U2OS,chr3,55592623,55946229,1,False,353606,353.61,BJ,4712567,4712.567,False,False
U2OS,chr3,66836311,68279247,4,True,1442936,1442.94,RPE1,0,0.0,True,True
U2OS,chr3,127850369,129237759,1,False,1387390,1387.39,BJ,10070744,10070.744,False,False
U2OS,chr3,131034340,131468733,1,False,434393,434.39,BJ,7839770,7839.77,False,False
U2OS,chr3,136462301,138323024,1,False,1860723,1860.72,BJ,985479,985.479,False,True
U2OS,chr3,167124177,167329367,1,False,205190,205.19,RPE1,516441,516.441,False,True
U2OS,chr3,180424301,180828306,1,False,404005,404.0,RPE1,4301937,4301.937,False,False
U2OS,chr4,19131381,19639842,6,True,508461,508.46,RPE1,9028527,9028.527,False,False
U2OS,chr4,66401541,66913486,1,False,511945,511.94,RPE1,204310,204.31,False,True
U2OS,chr4,83477631,83672211,1,False,194580,194.58,RPE1,0,0.0,True,True
U2OS,chr4,93964870,95021538,4,True,1056668,1056.67,RPE1,0,0.0,True,True
U2OS,chr4,98542645,98849813,1,False,307168,307.17,BJ,142102,142.102,False,True
U2OS,chr4,102307236,102530036,1,False,222800,222.8,BJ,3189498,3189.498,False,False
U2OS,chr4,104548869,105285088,1,False,736219,736.22,RPE1,3623292,3623.292,False,False
U2OS,chr4,163924165,164122282,1,False,198117,198.12,RPE1,148120,148.12,False,True
U2OS,chr4,185834451,186075915,1,False,241464,241.46,RPE1,4102869,4102.869,False,False
U2OS,chr5,10211151,10770562,1,False,559411,559.41,BJ,8423405,8423.405,False,False
U2OS,chr5,17459294,17603043,2,True,143749,143.75,BJ,1590924,1590.924,False,False
U2OS,chr5,34175736,35024134,4,True,848398,848.4,RPE1,0,0.0,True,True
U2OS,chr5,59458646,59501754,1,False,43108,43.11,RPE1,162618,162.618,False,True
U2OS,chr5,84339844,84612872,1,False,273028,273.03,RPE1,8588762,8588.762,False,False
U2OS,chr5,98905191,99369934,1,False,464743,464.74,RPE1,0,0.0,True,True
U2OS,chr5,122924151,123010703,1,False,86552,86.55,RPE1,7242220,7242.22,False,False
U2OS,chr5,123896451,124168533,1,False,272082,272.08,RPE1,6202587,6202.587,False,False
U2OS,chr5,128869993,129295685,2,True,425692,425.69,RPE1,1075435,1075.435,False,False
U2OS,chr5,139533133,139599011,1,False,65878,65.88,RPE1,1259690,1259.69,False,False
U2OS,chr5,152911904,153127901,1,False,215997,216.0,BJ,2146150,2146.15,False,False
U2OS,chr5,158811171,161308983,1,False,2497812,2497.81,BJ,8045417,8045.417,False,False
U2OS,chr5,171746876,172214110,1,False,467234,467.23,BJ,2534360,2534.36,False,False
U2OS,chr6,10890818,11278245,1,False,387427,387.43,BJ,20747189,20747.189,False,False
U2OS,chr6,12632403,13067559,1,False,435156,435.16,BJ,18957875,18957.875,False,False
U2OS,chr6,72139234,72463454,1,False,324220,324.22,BJ,159818,159.818,False,True
U2OS,chr6,79294291,79471012,1,False,176721,176.72,BJ,7314875,7314.875,False,False
U2OS,chr6,93014305,93328128,2,True,313823,313.82,RPE1,0,0.0,True,True
U2OS,chr6,94320036,94530163,1,False,210127,210.13,RPE1,1234710,1234.71,False,False
U2OS,chr6,124043236,124292997,1,False,249761,249.76,RPE1,2421872,2421.872,False,False
U2OS,chr6,126448768,126796461,1,False,347693,347.69,RPE1,0,0.0,True,True
U2OS,chr6,129420435,129624670,1,False,204235,204.24,BJ,234134,234.134,False,True
U2OS,chr7,18503763,19282105,2,True,778342,778.34,BJ,20757793,20757.793,False,False
U2OS,chr7,41963597,42228759,1,False,265162,265.16,BJ,0,0.0,True,True
U2OS,chr7,69240116,69407061,1,False,166945,166.94,RPE1,0,0.0,True,True
U2OS,chr7,78148534,79378365,4,True,1229831,1229.83,BJ,0,0.0,True,True
U2OS,chr7,87496526,88558525,2,True,1061999,1062.0,RPE1,3413007,3413.007,False,False
U2OS,chr7,89605681,90068016,1,False,462335,462.33,RPE1,3614475,3614.475,False,False
U2OS,chr7,100094213,100612415,1,False,518202,518.2,RPE1,4050104,4050.104,False,False
U2OS,chr7,109966780,110094808,4,True,128028,128.03,RPE1,144303,144.303,False,True
U2OS,chr7,110756761,111517242,3,True,760481,760.48,RPE1,347305,347.305,False,True
U2OS,chr7,116399830,117021345,1,False,621515,621.51,RPE1,0,0.0,True,True
U2OS,chr7,124887415,125085523,1,False,198108,198.11,BJ,802166,802.166,False,True
U2OS,chr7,139378856,139522241,1,False,143385,143.38,BJ,5104026,5104.026,False,False
U2OS,chr8,14695845,14791794,1,False,95949,95.95,BJ,1952387,1952.387,False,False
U2OS,chr8,16759393,20750517,2,True,3991124,3991.12,BJ,4015935,4015.935,False,False
U2OS,chr8,35089015,35229563,1,False,140548,140.55,RPE1,2638093,2638.093,False,False
U2OS,chr8,36146570,36392239,1,False,245669,245.67,RPE1,1475417,1475.417,False,False
U2OS,chr8,39999865,40385911,1,False,386046,386.05,RPE1,866084,866.084,False,True
U2OS,chr8,62941234,63076618,1,False,135384,135.38,BJ,5854748,5854.748,False,False
U2OS,chr8,64251688,64887340,1,False,635652,635.65,BJ,7165202,7165.202,False,False
U2OS,chr8,65734902,66097254,1,False,362352,362.35,BJ,8648416,8648.416,False,False
U2OS,chr8,69425550,69992417,2,True,566867,566.87,BJ,12339064,12339.064,False,False
U2OS,chr8,72734953,73003783,1,False,268830,268.83,BJ,15648467,15648.467,False,False
U2OS,chr8,110972201,111028684,1,False,56483,56.48,RPE1,125739,125.739,False,True
U2OS,chr8,120703789,120796187,1,False,92398,92.4,RPE1,583552,583.552,False,True
U2OS,chr8,121859951,121893936,1,False,33985,33.98,RPE1,715961,715.961,False,True
U2OS,chr8,128311874,128652080,1,False,340206,340.21,BJ,3097090,3097.09,False,False
U2OS,chr8,131367067,131641200,1,False,274133,274.13,BJ,6152283,6152.283,False,False
U2OS,chr8,132235649,132393416,1,False,157767,157.77,RPE1,7018445,7018.445,False,False
U2OS,chr8,136248007,137957216,1,False,1709209,1709.21,RPE1,1454645,1454.645,False,False
U2OS,chr9,44907911,66251395,1,False,21343484,21343.48,RPE1,20665575,20665.575,False,False
U2OS,chr9,81267182,81325269,1,False,58087,58.09,RPE1,5591701,5591.701,False,False
U2OS,chr9,85126896,87060222,4,True,1933326,1933.33,RPE1,0,0.0,True,True
U2OS,chr9,92104925,92261403,1,False,156478,156.48,BJ,61866,61.866,False,True
U2OS,chr9,119316698,119740197,2,True,423499,423.5,BJ,0,0.0,True,True
U2OS,chr9,122112187,122643213,1,False,531026,531.03,RPE1,1357579,1357.579,False,False
U2OS,chr9,124810313,124964495,1,False,154182,154.18,RPE1,51411,51.411,False,True
U2OS,chr9,138955818,139044795,1,False,88977,88.98,RPE1,3072739,3072.739,False,False
U2OS,chrX,75326207,75433493,1,False,107286,107.29,RPE1,2116418,2116.418,False,False
U2OS,chrX,81413181,81537782,1,False,124601,124.6,RPE1,8203392,8203.392,False,False
U2OS,chrX,90764204,90853467,1,False,89263,89.26,RPE1,17554415,17554.415,False,False
U2OS,chrX,96461366,96708255,3,True,246889,246.89,RPE1,14436852,14436.852,False,False
U2OS,chrX,120560083,120655955,1,False,95872,95.87,RPE1,5396110,5396.11,False,False
RPE1,chr1,3827201,5550783,2,True,1723582,1723.58,BJ,10948391,10948.391,False,False
RPE1,chr1,16466167,18220095,5,True,1753928,1753.93,BJ,0,0.0,True,True
RPE1,chr1,30784843,31244468,1,False,459625,459.62,BJ,10482026,10482.026,False,False
RPE1,chr1,33598009,35148767,2,True,1550758,1550.76,BJ,13295192,13295.192,False,False
RPE1,chr1,37308370,37563712,1,False,255342,255.34,BJ,17005553,17005.553,False,False
RPE1,chr1,72148338,72945186,2,True,796848,796.85,BJ,0,0.0,True,True
RPE1,chr1,92452466,94612753,5,True,2160287,2160.29,U2OS,0,0.0,True,True
RPE1,chr1,95291508,96317234,5,True,1025726,1025.73,U2OS,0,0.0,True,True
RPE1,chr1,160854484,161325905,1,False,471421,471.42,U2OS,8411080,8411.08,False,False
RPE1,chr1,179554327,181336167,1,False,1781840,1781.84,U2OS,1444855,1444.855,False,False
RPE1,chr1,204470702,205883277,1,False,1412575,1412.58,U2OS,448920,448.92,False,True
RPE1,chr1,207180694,207682017,1,False,501323,501.32,U2OS,240916,240.916,False,True
RPE1,chr1,226598556,243430364,1,False,16831808,16831.81,U2OS,0,0.0,True,True
RPE1,chr10,60187713,60472277,1,False,284564,284.56,U2OS,2290664,2290.664,False,False
RPE1,chr10,91116761,93776182,3,True,2659421,2659.42,U2OS,1040906,1040.906,False,False
RPE1,chr10,112254376,112579731,1,False,325355,325.36,U2OS,0,0.0,True,True
RPE1,chr10,117054554,127331775,5,True,10277221,10277.22,BJ,282442,282.442,False,True
RPE1,chr10,127971059,128042001,1,False,70942,70.94,BJ,0,0.0,True,True
RPE1,chr10,128898611,130794284,5,True,1895673,1895.67,BJ,0,0.0,True,True
RPE1,chr11,776604,4679877,9,True,3903273,3903.27,U2OS,2828019,2828.019,False,False
RPE1,chr11,5717178,6318451,1,False,601273,601.27,U2OS,1189445,1189.445,False,False
RPE1,chr11,15835792,17706546,3,True,1870754,1870.75,U2OS,3700520,3700.52,False,False
RPE1,chr11,34998593,35431590,1,False,432997,433.0,BJ,1003377,1003.377,False,False
RPE1,chr11,37467593,38340949,1,False,873356,873.36,U2OS,0,0.0,True,True
RPE1,chr11,57512884,57667983,1,False,155099,155.1,U2OS,2903571,2903.571,False,False
RPE1,chr11,62926364,64708065,3,True,1781701,1781.7,BJ,0,0.0,True,True
RPE1,chr11,66634679,67686632,3,True,1051953,1051.95,BJ,0,0.0,True,True
RPE1,chr11,68122054,68846215,1,False,724161,724.16,BJ,1061605,1061.605,False,False
RPE1,chr11,78308513,78853528,1,False,545015,545.01,BJ,11248064,11248.064,False,False
RPE1,chr11,79360231,81083602,2,True,1723371,1723.37,BJ,12299782,12299.782,False,False
RPE1,chr11,82809008,83112821,1,False,303813,303.81,U2OS,13898606,13898.606,False,False
RPE1,chr11,87844452,89240195,7,True,1395743,1395.74,U2OS,7771232,7771.232,False,False
RPE1,chr11,89705031,92053060,6,True,2348029,2348.03,U2OS,4958367,4958.367,False,False
RPE1,chr11,100946827,101069145,1,False,122318,122.32,BJ,326912,326.912,False,True
RPE1,chr11,124453200,124570596,1,False,117396,117.4,BJ,20790613,20790.613,False,False
RPE1,chr12,1857408,2188667,2,True,331259,331.26,U2OS,7242447,7242.447,False,False
RPE1,chr12,6362581,6597115,1,False,234534,234.53,U2OS,2833999,2833.999,False,False
RPE1,chr12,22825710,23218233,1,False,392523,392.52,BJ,809827,809.827,False,True
RPE1,chr12,24595360,25668785,2,True,1073425,1073.42,BJ,373165,373.165,False,True
RPE1,chr12,28222823,29029162,1,False,806339,806.34,BJ,4000628,4000.628,False,False
RPE1,chr12,30379409,30694088,3,True,314679,314.68,BJ,6157214,6157.214,False,False
RPE1,chr12,46009763,46759912,1,False,750149,750.15,BJ,0,0.0,True,True
RPE1,chr12,49328255,49576684,1,False,248429,248.43,BJ,1236876,1236.876,False,False
RPE1,chr12,58165793,59081024,2,True,915231,915.23,U2OS,0,0.0,True,True
RPE1,chr12,74407960,74648323,1,False,240363,240.36,BJ,752241,752.241,False,True
RPE1,chr12,75718082,76541952,2,True,823870,823.87,BJ,0,0.0,True,True
RPE1,chr12,80035861,80457459,1,False,421598,421.6,BJ,680395,680.395,False,True
RPE1,chr12,81479632,82367768,1,False,888136,888.14,BJ,102591,102.591,False,True
RPE1,chr12,83113361,84166761,1,False,1053400,1053.4,U2OS,0,0.0,True,True
RPE1,chr12,103947568,104236968,1,False,289400,289.4,BJ,3794759,3794.759,False,False
RPE1,chr12,105694186,106141567,1,False,447381,447.38,BJ,5541377,5541.377,False,False
RPE1,chr12,129451959,130196212,1,False,744253,744.25,U2OS,3902542,3902.542,False,False
RPE1,chr13,22280789,22608552,1,False,327763,327.76,U2OS,4430829,4430.829,False,False
RPE1,chr13,31672972,32001540,1,False,328568,328.57,U2OS,2324649,2324.649,False,False
RPE1,chr13,33276567,33713786,1,False,437219,437.22,U2OS,3928244,3928.244,False,False
RPE1,chr13,35602703,36180199,1,False,577496,577.5,U2OS,6254380,6254.38,False,False
RPE1,chr13,47469004,48649393,6,True,1180389,1180.39,BJ,0,0.0,True,True
RPE1,chr13,62301787,62555983,1,False,254196,254.2,U2OS,255377,255.377,False,True
RPE1,chr13,68563682,69296514,1,False,732832,732.83,U2OS,519254,519.254,False,True
RPE1,chr13,70614260,73057762,4,True,2443502,2443.5,U2OS,252379,252.379,False,True
RPE1,chr13,77449011,78770679,1,False,1321668,1321.67,U2OS,1120840,1120.84,False,False
RPE1,chr13,86267698,86574005,1,False,306307,306.31,BJ,148777,148.777,False,True
RPE1,chr13,87218375,87670463,2,True,452088,452.09,BJ,488054,488.054,False,True
RPE1,chr13,88987724,89061331,1,False,73607,73.61,BJ,523877,523.877,False,True
RPE1,chr13,94594790,94680916,1,False,86126,86.13,BJ,59695,59.695,False,True
RPE1,chr13,102565689,102770800,1,False,205111,205.11,U2OS,4997124,4997.124,False,False
RPE1,chr13,104598301,104849259,1,False,250958,250.96,U2OS,2918665,2918.665,False,False
RPE1,chr13,107845252,108209410,1,False,364158,364.16,U2OS,0,0.0,True,True
RPE1,chr14,22377418,22776721,1,False,399303,399.3,U2OS,4166045,4166.045,False,False
RPE1,chr14,23443624,23892974,1,False,449350,449.35,U2OS,3049792,3049.792,False,False
RPE1,chr14,25500267,26298582,1,False,798315,798.32,U2OS,644184,644.184,False,True
RPE1,chr14,27536066,29275164,3,True,1739098,1739.1,U2OS,0,0.0,True,True
RPE1,chr14,39879859,40026395,1,False,146536,146.54,BJ,0,0.0,True,True
RPE1,chr14,42766887,43080754,1,False,313867,313.87,BJ,1638186,1638.186,False,False
RPE1,chr14,43753332,44657962,2,True,904630,904.63,BJ,2624631,2624.631,False,False
RPE1,chr14,49443036,50341182,5,True,898146,898.15,BJ,5324181,5324.181,False,False
RPE1,chr14,51276155,52052495,1,False,776340,776.34,BJ,3612868,3612.868,False,False
RPE1,chr14,53189279,54386253,3,True,1196974,1196.97,BJ,1279110,1279.11,False,False
RPE1,chr14,72398101,72591363,1,False,193262,193.26,BJ,16156215,16156.215,False,False
RPE1,chr14,73330495,73692709,1,False,362214,362.21,BJ,17088609,17088.609,False,False
RPE1,chr14,83350700,83605575,1,False,254875,254.88,BJ,14860784,14860.784,False,False
RPE1,chr14,84373338,84700975,1,False,327637,327.64,BJ,13765384,13765.384,False,False
RPE1,chr14,105936215,106221465,1,False,285250,285.25,U2OS,3205804,3205.804,False,False
RPE1,chr15,30356252,31427137,1,False,1070885,1070.88,BJ,1014505,1014.505,False,False
RPE1,chr15,38587032,39073741,1,False,486709,486.71,BJ,100452,100.452,False,True
RPE1,chr15,40913460,41538519,1,False,625059,625.06,BJ,917994,917.994,False,True
RPE1,chr15,48502847,48562682,1,False,59835,59.84,U2OS,1503254,1503.254,False,False
RPE1,chr15,49388608,49490248,1,False,101640,101.64,U2OS,575688,575.688,False,True
RPE1,chr15,62512331,63151318,1,False,638987,638.99,U2OS,0,0.0,True,True
RPE1,chr15,68833880,69381280,1,False,547400,547.4,BJ,2605017,2605.017,False,False
RPE1,chr16,58483294,59155474,1,False,672180,672.18,U2OS,4110745,4110.745,False,False
RPE1,chr16,60191228,60678572,1,False,487344,487.34,U2OS,2587647,2587.647,False,False
RPE1,chr16,68004098,69210100,3,True,1206002,1206.0,BJ,0,0.0,True,True
RPE1,chr16,81572706,83275050,2,True,1702344,1702.34,U2OS,0,0.0,True,True
RPE1,chr16,86139599,87555092,1,False,1415493,1415.49,U2OS,710406,710.406,False,True
RPE1,chr17,831093,2536196,2,True,1705103,1705.1,BJ,1140130,1140.13,False,False
RPE1,chr17,15814143,18397104,5,True,2582961,2582.96,BJ,0,0.0,True,True
RPE1,chr17,41722737,44769220,3,True,3046483,3046.48,U2OS,0,0.0,True,True
RPE1,chr17,45611336,49626555,4,True,4015219,4015.22,BJ,0,0.0,True,True
RPE1,chr17,50811391,50952327,1,False,140936,140.94,BJ,1076036,1076.036,False,False
RPE1,chr17,51690469,52228166,1,False,537697,537.7,BJ,1955114,1955.114,False,False
RPE1,chr17,52708775,52952591,1,False,243816,243.82,BJ,2973420,2973.42,False,False
RPE1,chr17,55947608,57654142,1,False,1706534,1706.53,BJ,6212253,6212.253,False,False
RPE1,chr17,59256218,62311094,4,True,3054876,3054.88,BJ,9520863,9520.863,False,False
RPE1,chr17,63208686,64044525,1,False,835839,835.84,U2OS,11978944,11978.944,False,False
RPE1,chr17,66947593,67530097,1,False,582504,582.5,U2OS,8493372,8493.372,False,False
RPE1,chr17,69000522,69126763,1,False,126241,126.24,U2OS,6896706,6896.706,False,False
RPE1,chr17,71128766,72788459,1,False,1659693,1659.69,U2OS,3235010,3235.01,False,False
RPE1,chr18,132313,1355237,1,False,1222924,1222.92,BJ,0,0.0,True,True
RPE1,chr18,8189818,9093153,2,True,903335,903.34,BJ,0,0.0,True,True
RPE1,chr18,28627391,28745997,1,False,118606,118.61,BJ,357294,357.294,False,True
RPE1,chr18,29932658,30670148,2,True,737490,737.49,BJ,386468,386.468,False,True
